"grouping","group_col","question","prop_agree","n","n_agree","sd_agree","se","ci_lower","ci_upper","cat_group","diff"
"job_satisfied","satisfied with job","s_agency_mh_policy_support_recat",82.3244552058111,413,340,0.38192426783305,1.87932646195406,78.6409753403812,86.0079350712411,"org & team",39.4673123486683
"job_satisfied","not satisfied with job","s_comfort_using_PTO_recat",62.8571428571429,35,22,0.490240894309911,8.28658355335869,46.6154390925598,79.0988466217259,"org & team",30.363196125908
"job_satisfied","satisfied with job","s_comfort_using_PTO_recat",93.2203389830508,413,385,0.251701466891004,1.23854194949374,90.7927967620431,95.6478812040586,"org & team",30.363196125908
"job_satisfied","not satisfied with job","s_org_recat",51.4285714285714,35,18,0.50709255283711,8.57142857142857,34.6285714285714,68.2285714285714,"org & team",40.5811138014528
"job_satisfied","satisfied with job","s_org_recat",92.0096852300242,413,380,0.271472057448837,1.33582666568789,89.3914649652759,94.6279054947725,"org & team",40.5811138014528
"job_satisfied","not satisfied with job","s_work_unit_recat",62.8571428571429,35,22,0.490240894309911,8.28658355335869,46.6154390925598,79.0988466217259,"org & team",33.0266343825666
"job_satisfied","satisfied with job","s_work_unit_recat",95.8837772397094,413,396,0.198906245482924,0.978753648478267,93.965420088692,97.8021343907268,"org & team",33.0266343825666
"job_satisfied","not satisfied with job","f_happy_input_recat",31.4285714285714,35,11,0.471008215953606,7.96149195450555,15.8240471977405,47.0330956594023,"voice",51.6222760290557
"job_satisfied","satisfied with job","f_happy_input_recat",83.0508474576271,413,343,0.37564053134244,1.84840621607978,79.4279712741107,86.6737236411435,"voice",51.6222760290557
"job_satisfied","not satisfied with job","f_voice_concerns_recat",54.2857142857143,35,19,0.505432670960188,8.54337144681602,37.5407062499549,71.0307223214737,"voice",34.3341404358354
"job_satisfied","satisfied with job","f_voice_concerns_recat",88.6198547215496,413,366,0.317955131013308,1.56455491770055,85.5533270828566,91.6863823602427,"voice",34.3341404358354
"job_satisfied","not satisfied with job","s_sup_interpersonal_skills_recat",51.4285714285714,35,18,0.50709255283711,8.57142857142857,34.6285714285714,68.2285714285714,"supervisor",38.6440677966102
"job_satisfied","satisfied with job","s_sup_interpersonal_skills_recat",90.0726392251816,413,372,0.299391705636112,1.47321027303103,87.1851470900408,92.9601313603224,"supervisor",38.6440677966102
"job_satisfied","not satisfied with job","s_supervisor_recat",57.1428571428571,35,20,0.502096445253434,8.48697893980006,40.508378420849,73.7773358648653,"supervisor",38.498789346247
"job_satisfied","satisfied with job","s_supervisor_recat",95.6416464891041,413,395,0.204414249403796,1.0058567639199,93.6701672318211,97.6131257463871,"supervisor",38.498789346247
"job_satisfied","not satisfied with job","s_belonging_agency_recat",42.8571428571429,35,15,0.502096445253434,8.48697893980006,26.2226641351347,59.491621579151,"belonging",49.3946731234867
"job_satisfied","satisfied with job","s_belonging_agency_recat",92.2518159806295,413,381,0.267678717695832,1.31716086103124,89.6701806930083,94.8334512682508,"belonging",49.3946731234867
"job_satisfied","not satisfied with job","s_belonging_work_unit_recat",68.5714285714286,35,24,0.471008215953606,7.96149195450555,52.9669043405977,84.1759528022595,"belonging",24.8910411622276
"job_satisfied","satisfied with job","s_belonging_work_unit_recat",93.4624697336562,413,386,0.247486720385563,1.21780253776941,91.0755767596281,95.8493627076842,"belonging",24.8910411622276
"job_satisfied","not satisfied with job","f_psych_safe_recat",65.7142857142857,35,23,0.481593991977935,8.14042422743686,49.7590542285095,81.669517200062,"treated fairly",24.3583535108959
"job_satisfied","satisfied with job","f_psych_safe_recat",90.0726392251816,413,372,0.299391705636112,1.47321027303103,87.1851470900408,92.9601313603224,"treated fairly",24.3583535108959
"job_satisfied","not satisfied with job","f_treated_fairly_recat",54.2857142857143,35,19,0.505432670960188,8.54337144681602,37.5407062499549,71.0307223214737,"treated fairly",38.6924939467312
"job_satisfied","satisfied with job","f_treated_fairly_recat",92.9782082324455,413,384,0.255823818638985,1.2588267163388,90.5109078684215,95.4455085964696,"treated fairly",38.6924939467312
"job_satisfied","not satisfied with job","s_treated_fair_age_recat",91.4285714285714,35,32,0.284028640998691,4.80096028809603,82.0186892639032,100,"treated fairly",5.181598062954
"job_satisfied","satisfied with job","s_treated_fair_age_recat",96.6101694915254,413,399,0.181186915562098,0.891562526015058,94.8627069405359,98.3576320425149,"treated fairly",5.181598062954
"job_satisfied","not satisfied with job","s_treated_fair_diability_recat",88.5714285714286,35,31,0.322802851090676,5.45636406075561,77.8769550123476,99.2659021305096,"treated fairly",9.73365617433414
"job_satisfied","satisfied with job","s_treated_fair_diability_recat",98.3050847457627,413,406,0.129237456736794,0.635935950598637,97.0586502825894,99.551519208936,"treated fairly",9.73365617433414
"job_satisfied","not satisfied with job","s_treated_fair_gender_recat",94.2857142857143,35,33,0.235504107976803,3.98074597725278,86.4834521702988,100,"treated fairly",4.50363196125909
"job_satisfied","satisfied with job","s_treated_fair_gender_recat",98.7893462469734,413,408,0.109494284467014,0.538786150979898,97.7333253910528,99.845367102894,"treated fairly",4.50363196125909
"job_satisfied","not satisfied with job","s_treated_fair_race_recat",100,35,35,0,0,100,100,"treated fairly",2.90556900726392
"job_satisfied","satisfied with job","s_treated_fair_race_recat",97.0944309927361,413,401,0.168166379984549,0.827492658974301,95.4725453811465,98.7163166043257,"treated fairly",2.90556900726392
"job_satisfied","not satisfied with job","s_treated_fair_sex_orient_recat",97.1428571428571,35,34,0.169030850945703,2.85714285714286,91.5428571428571,100,"treated fairly",2.37288135593221
"job_satisfied","satisfied with job","s_treated_fair_sex_orient_recat",99.5157384987893,413,411,0.0695043962075367,0.342008775080146,98.8454012996323,100,"treated fairly",2.37288135593221
