"grouping","group_col","question","prop_agree","n","n_agree","sd_agree","se","ci_lower","ci_upper","cat_group","diff_leaving"
"leave_retire","not leaving or retiring","s_org_recat",93.3544303797468,316,295,0.2494720163061,1.40338973582807,90.6037864975238,96.1050742619698,"org & team",20.3814574067739
"leave_retire","not leaving or retiring","f_psych_safe_recat",91.7721518987342,316,290,0.275224350007499,1.54825793116833,88.7375663536443,94.8067374438241,"treated fairly",13.3937735203558
"leave_retire","not leaving or retiring","s_sup_interpersonal_skills_recat",91.4556962025316,316,289,0.279983207969741,1.57502859874605,88.3686401489894,94.5427522560739,"supervisor",17.1313718782073
"leave_retire","not leaving or retiring","f_voice_concerns_recat",90.5063291139241,316,286,0.29359241120646,1.65158634826043,87.2692198713336,93.7434383565145,"org & team",18.8847074923024
"leave_retire","not leaving or retiring","s_benefits_recat",89.2405063291139,316,282,0.310359607868846,1.74590919874692,85.81852429957,92.6624883586579,"pay & benefits",16.267533356141
"leave_retire","not leaving or retiring","f_love_job_recat",87.9746835443038,316,278,0.325773218163331,1.83261753100649,84.3827531835311,91.5666139050765,"job",27.163872733493
"leave_retire","not leaving or retiring","f_manage_demands_recat",87.9746835443038,316,278,0.325773218163331,1.83261753100649,84.3827531835311,91.5666139050765,"balance",13.6503592199795
"leave_retire","not leaving or retiring","f_work_life_balance_recat",87.3417721518987,316,276,0.333031810582043,1.87345030354672,83.6698095569472,91.0137347468503,"balance",14.3687991789258
"leave_retire","not leaving or retiring","f_happy_input_recat",83.5443037974684,316,264,0.371368289261262,2.08910984517721,79.449648500921,87.6389590940157,"org & team",25.4361956893603
"leave_retire","not leaving or retiring","s_pay_recat",70.8860759493671,316,224,0.455008075537677,2.55962040305538,65.8692199593786,75.9029319393556,"pay & benefits",24.9401300034211
"leave_retire","not leaving or retiring","f_paid_fairly_recat",69.620253164557,316,220,0.460625671933691,2.59122185174258,64.5414583351415,74.6990479939724,"pay & benefits",16.9175504618543
