"grouping","group_col","question","prop_agree","n","n_agree","sd_agree","se","ci_lower","ci_upper","cat_group"
"jd_size","Small","f_psych_safe_recat",90.3846153846154,104,94,0.296229731410389,2.90477150186139,84.6912632409671,96.0779675282637,"treated fairly"
"jd_size","Small","f_voice_concerns_recat",88.4615384615385,104,92,0.321032687677022,3.14798449801206,82.2914888454348,94.6315880776421,"org & team"
"jd_size","Small","s_benefits_recat",86.5384615384615,104,90,0.342965148890159,3.36304997437149,79.9468835886934,93.1300394882297,"pay & benefits"
"jd_size","Small","f_paid_fairly_recat",75.9615384615385,104,79,0.429386383306204,4.21047989874878,67.7089978599908,84.2140790630861,"pay & benefits"
"jd_size","Small","s_pay_recat",75,104,78,0.435109627966923,4.26660092991431,66.637462177368,83.362537822632,"pay & benefits"
"jd_size","Medium","s_treated_fair_gender_recat",100,75,75,0,0,100,100,"treated fairly"
"jd_size","Medium","s_treated_fair_sex_orient_recat",100,75,75,0,0,100,100,"treated fairly"
"jd_size","Medium","s_treated_fair_age_recat",98.6666666666667,75,74,0.115470053837925,1.33333333333333,96.0533333333333,101.28,"treated fairly"
"jd_size","Medium","s_treated_fair_diability_recat",98.6666666666667,75,74,0.115470053837925,1.33333333333333,96.0533333333333,101.28,"treated fairly"
"jd_size","Medium","s_treated_fair_race_recat",98.6666666666667,75,74,0.115470053837925,1.33333333333333,96.0533333333333,101.28,"treated fairly"
"jd_size","Medium","s_work_unit_recat",97.3333333333333,75,73,0.162192189412149,1.87283408435118,93.662578528005,101.004088138662,"org & team"
"jd_size","Medium","s_belonging_work_unit_recat",96,75,72,0.197278784766429,2.277979189806,91.5351607879802,100.46483921202,"belonging"
"jd_size","Medium","s_job_recat",94.6666666666667,75,71,0.226210457696304,2.61205337288939,89.5470420558035,99.7862912775299,"job"
"jd_size","Medium","s_org_recat",94.6666666666667,75,71,0.226210457696304,2.61205337288939,89.5470420558035,99.7862912775299,"org & team"
"jd_size","Medium","s_supervisor_recat",92,75,69,0.273120110198049,3.15371938287888,85.8187100095574,98.1812899904426,"supervisor"
"jd_size","Medium","f_happy_input_recat",90.6666666666667,75,68,0.292857927612974,3.38163206683333,84.0386678156733,97.29466551766,"org & team"
"jd_size","Medium","f_psych_safe_recat",90.6666666666667,75,68,0.292857927612974,3.38163206683333,84.0386678156733,97.29466551766,"treated fairly"
"jd_size","Medium","s_belonging_agency_recat",89.3333333333333,75,67,0.310767721259105,3.58843655048781,82.2999976943772,96.3666689722894,"belonging"
"jd_size","Medium","s_sup_interpersonal_skills_recat",89.3333333333333,75,67,0.310767721259105,3.58843655048781,82.2999976943772,96.3666689722894,"supervisor"
"jd_size","Medium","s_benefits_recat",88,75,66,0.327149854083762,3.77760112641214,80.5959017922322,95.4040982077678,"pay & benefits"
"jd_size","Medium","f_love_job_recat",88,75,66,0.327149854083762,3.77760112641214,80.5959017922322,95.4040982077678,"job"
"jd_size","Medium","f_treated_fairly_recat",88,75,66,0.327149854083762,3.77760112641214,80.5959017922322,95.4040982077678,"treated fairly"
