"grouping","group_col","question","prop_agree","n","n_agree","sd_agree","se","ci_lower","ci_upper","cat_group","diff_exec_sup","diff_sup_nonsup"
"position_type","Supervisor","s_job_recat",88.7755102040816,98,87,0.31729049622439,3.20511802123301,82.4934788824649,95.0575415256983,"job",6.87666370896186,4.19085065218749
"position_type","Supervisor","f_psych_safe_recat",88.7755102040816,98,87,0.31729049622439,3.20511802123301,82.4934788824649,95.0575415256983,"treated fairly",10.5146406388642,0.0904949135617557
"position_type","Supervisor","f_treated_fairly_recat",88.7755102040816,98,87,0.31729049622439,3.20511802123301,82.4934788824649,95.0575415256983,"treated fairly",2.52883762200533,1.43855707420583
"position_type","Supervisor","s_benefits_recat",86.734693877551,98,85,0.340943357814689,3.44404800444683,79.9843597888352,93.4850279662668,"pay & benefits",4.12599822537712,0.115459027647745
"position_type","Supervisor","s_belonging_agency_recat",85.7142857142857,98,84,0.351726229056329,3.55297145267005,78.7504616670524,92.678109761519,"belonging",9.93788819875778,2.97072957623416
"position_type","Supervisor","s_sup_interpersonal_skills_recat",85.7142857142857,98,84,0.351726229056329,3.55297145267005,78.7504616670524,92.678109761519,"supervisor",7.45341614906832,2.35910878112715
"position_type","Supervisor","f_voice_concerns_recat",85.7142857142857,98,84,0.351726229056329,3.55297145267005,78.7504616670524,92.678109761519,"org & team",9.93788819875778,0.393184796854513
"position_type","Supervisor","f_happy_input_recat",82.6530612244898,98,81,0.380599370068486,3.8446342212965,75.1175781507487,90.1885442982309,"org & team",8.65128660159715,5.58884104100356
"position_type","Supervisor","f_love_job_recat",81.6326530612245,98,80,0.389208522159857,3.93159979021185,73.9267174724093,89.3385886500397,"job",0.976042590949419,2.77101666354616
"position_type","Supervisor","s_org_recat",78.5714285714286,98,77,0.412435561977268,4.16622832395159,70.4056210564835,86.7372360863737,"org & team",17.0807453416149,12.865880297073
"position_type","Supervisor","f_manage_demands_recat",77.5510204081633,98,76,0.4193911208716,4.23649007911051,69.2474998531067,85.8545409632199,"balance",0.709849157054123,11.1339948823566
"position_type","Supervisor","f_work_life_balance_recat",77.5510204081633,98,76,0.4193911208716,4.23649007911051,69.2474998531067,85.8545409632199,"balance",7.98580301685892,10.5223740872496
"position_type","Supervisor","s_pay_recat",76.530612244898,98,75,0.42598631235363,4.30311157368432,68.0965135604767,84.9647109293192,"pay & benefits",15.6610470275066,11.0871871684454
"position_type","Supervisor","f_paid_fairly_recat",74.4897959183673,98,73,0.438159799729374,4.42608236617114,65.8146744806719,83.1649173560628,"pay & benefits",13.620230700976,7.82312925170069
"position_type","Executive","s_treated_fair_diability_recat",100,23,23,0,0,100,100,"treated fairly",1.0204081632653,2.03769581226986
"position_type","Executive","s_treated_fair_gender_recat",100,23,23,0,0,100,100,"treated fairly",3.06122448979592,1.83798289958186
"position_type","Executive","s_treated_fair_sex_orient_recat",100,23,23,0,0,100,100,"treated fairly",1.0204081632653,0.408787368158258
"position_type","Executive","s_belonging_agency_recat",95.6521739130435,23,22,0.208514414057075,4.34782608695652,87.1304347826087,104.173913043478,"belonging",9.93788819875778,2.97072957623416
"position_type","Executive","s_belonging_work_unit_recat",95.6521739130435,23,22,0.208514414057075,4.34782608695652,87.1304347826087,104.173913043478,"belonging",1.2866015971606,7.33632902702365
"position_type","Executive","s_job_recat",95.6521739130435,23,22,0.208514414057075,4.34782608695652,87.1304347826087,104.173913043478,"job",6.87666370896186,4.19085065218749
"position_type","Executive","s_org_recat",95.6521739130435,23,22,0.208514414057075,4.34782608695652,87.1304347826087,104.173913043478,"org & team",17.0807453416149,12.865880297073
"position_type","Executive","s_treated_fair_age_recat",95.6521739130435,23,22,0.208514414057075,4.34782608695652,87.1304347826087,104.173913043478,"treated fairly",2.3070097604259,2.24052923921862
"position_type","Executive","s_treated_fair_race_recat",95.6521739130435,23,22,0.208514414057075,4.34782608695652,87.1304347826087,104.173913043478,"treated fairly",1.77462289263532,4.59339699182425
"position_type","Executive","s_work_unit_recat",95.6521739130435,23,22,0.208514414057075,4.34782608695652,87.1304347826087,104.173913043478,"org & team",1.77462289263532,0.911190164139043
"position_type","Executive","f_voice_concerns_recat",95.6521739130435,23,22,0.208514414057075,4.34782608695652,87.1304347826087,104.173913043478,"org & team",9.93788819875778,0.393184796854513
