topic,data_imp,data_skill
collect_valid,Very important,Proficient
collect_valid,Very important,Proficient
collect_valid,NA,NA
collect_valid,NA,NA
collect_valid,Moderately important,Proficient
collect_valid,Moderately important,Proficient
collect_valid,Very important,Proficient
collect_valid,Moderately important,Beginner
collect_valid,Very important,Proficient
collect_valid,NA,NA
collect_valid,NA,NA
collect_valid,Not Important,NA
collect_valid,Not Important,NA
collect_valid,NA,NA
collect_valid,Moderately important,Beginner
collect_valid,Very important,Proficient
collect_valid,Moderately important,Proficient
collect_valid,NA,NA
collect_valid,Somewhat important,NA
collect_valid,Moderately important,Proficient
collect_valid,NA,NA
collect_valid,NA,NA
collect_valid,Moderately important,Unable to perform
collect_valid,NA,NA
collect_valid,Very important,Proficient
collect_valid,Very important,Proficient
collect_valid,Moderately important,Beginner
collect_valid,Very important,Proficient
collect_valid,Very important,Expert
collect_valid,Very important,Proficient
collect_valid,Moderately important,Proficient
collect_valid,Somewhat important,NA
collect_valid,NA,NA
collect_valid,Very important,Beginner
collect_valid,Somewhat important,NA
collect_valid,Moderately important,Proficient
collect_valid,Very important,Beginner
collect_valid,Very important,Proficient
collect_valid,Very important,Proficient
