"","supervisor_status","imp_prop"
"66","Supervisor",82.6530612244898
"67","Supervisor",85.7142857142857
"68","Supervisor",81.6326530612245
"69","Supervisor",84.6938775510204
"70","Supervisor",88.7755102040816
"71","Supervisor",82.6530612244898
"72","Supervisor",85.7142857142857
"73","Supervisor",82.6530612244898
"74","Supervisor",79.5918367346939
"75","Supervisor",75.5102040816327
"76","Supervisor",82.6530612244898
"77","Supervisor",75.5102040816327
"78","Supervisor",83.6734693877551
"79","Supervisor",76.530612244898
"80","Supervisor",80.6122448979592
"81","Supervisor",83.6734693877551
"82","Supervisor",78.5714285714286
"83","Supervisor",80.6122448979592
"84","Supervisor",85.7142857142857
"85","Supervisor",78.5714285714286
"86","Supervisor",82.6530612244898
"87","Supervisor",88.7755102040816
"88","Supervisor",82.6530612244898
"89","Supervisor",82.6530612244898
"90","Supervisor",79.5918367346939
"91","Supervisor",76.530612244898
"92","Supervisor",84.6938775510204
"93","Supervisor",75.5102040816327
"94","Supervisor",85.7142857142857
"95","Supervisor",75.5102040816327
"96","Supervisor",81.6326530612245
"97","Supervisor",82.6530612244898
"98","Supervisor",81.6326530612245
"99","Supervisor",85.7142857142857
"100","Supervisor",86.734693877551
"101","Supervisor",78.5714285714286
"102","Supervisor",83.6734693877551
"103","Supervisor",88.7755102040816
"104","Supervisor",75.5102040816327
"105","Supervisor",79.5918367346939
"106","Supervisor",96.9387755102041
"107","Supervisor",94.8979591836735
"108","Supervisor",92.8571428571429
"109","Supervisor",96.9387755102041
"110","Supervisor",93.8775510204082
"111","Executive",95.6521739130435
"112","Executive",95.6521739130435
"113","Executive",95.6521739130435
"114","Executive",95.6521739130435
"115","Executive",95.6521739130435
"116","Executive",91.304347826087
"117","Executive",86.9565217391304
"118","Executive",86.9565217391304
"119","Executive",91.304347826087
"120","Executive",95.6521739130435
"121","Executive",86.9565217391304
"122","Executive",91.304347826087
"123","Executive",91.304347826087
"124","Executive",95.6521739130435
"125","Executive",91.304347826087
"126","Executive",91.304347826087
"127","Executive",91.304347826087
"128","Executive",86.9565217391304
"129","Executive",91.304347826087
"130","Executive",86.9565217391304
"131","Executive",91.304347826087
"132","Executive",91.304347826087
"133","Executive",86.9565217391304
"134","Executive",78.2608695652174
"135","Executive",82.6086956521739
"136","Executive",78.2608695652174
"137","Executive",82.6086956521739
"138","Executive",82.6086956521739
"139","Executive",78.2608695652174
"140","Executive",78.2608695652174
"141","Executive",82.6086956521739
"142","Executive",91.304347826087
"143","Executive",82.6086956521739
"144","Executive",95.6521739130435
"145","Executive",86.9565217391304
"146","Executive",78.2608695652174
"147","Executive",91.304347826087
"148","Executive",82.6086956521739
"149","Executive",91.304347826087
"150","Executive",91.304347826087
"151","Executive",91.304347826087
"152","Executive",78.2608695652174
"153","Executive",86.9565217391304
"154","Executive",91.304347826087
"155","Executive",95.6521739130435
"156","Executive",91.304347826087
"157","Executive",86.9565217391304
"158","Executive",91.304347826087
"159","Executive",86.9565217391304
"160","Executive",95.6521739130435
"161","Executive",95.6521739130435
"162","Executive",91.304347826087
"163","Executive",91.304347826087
"164","Executive",95.6521739130435
"165","Executive",95.6521739130435
"166","Executive",95.6521739130435
